bank,no,komponen_otomatis,kalimat_tanya_yang_dinilai,komponen_koreksi_manual
endo-2019,47,Diagnostics,apa komplikasi dari penyakit tersebut?,
endo-2019,48,Pharmacology,bagaimanakah tatalaksana untuk pasien tersebut?,
endo-2019,49,Pharmacology,kapan terapi pengganti hormon tersebut dihentikan?,
endo-2019,50,Physiology,berikut ini apa proses yang tidak berkaitan dengan patofisiologi ulkus diabetik pada kaki?,
endo-2019,51,Diagnostics,apa tipe neuropati yang terjadi pada pasien di atas?,
endo-2019,52,Diagnostics,apa diagnosis yang paling tepat pada pasien di atas?,
endo-2019,53,Physiology,bagaimana cara kerja hormon tiroksin pada sel target?,
endo-2019,54,Physiology,apa penyebab keadaan hipokalemia pada pasien ini?,
endo-2019,55,Pharmacology,bagaimana cara kerja obat ini?,
endo-2019,56,Diagnostics,apa klasifikasi wagner untuk pasien ini?,
endo-2019,57,Diagnostics,"berdasarkan keluhan dan gejala klinis pasien, mana hasil laboratorium fungsi tiroid yang paling mungkin?",
endo-2019,58,Recall,apa perubahan hormon yang dimaksud oleh dokter tersebut?,
endo-2019,59,Physiology,berapakah kebutuhan kalori wanita tersebut jika dihitung dengan rumus broca?,
endo-2019,60,Physiology,apa penyebab gangguan ini?,
endo-2019,61,Physiology,gangguan metabolisme yodium yang terjadi pada pasien ini pada proses apa?,
endo-2019,62,Diagnostics,termasuk klasifikasi wagner apa pasien ini?,
endo-2019,63,Recall,"makanan berikut tergolong haram, kecuali apa?",
endo-2019,64,Physiology,apa penyebab kondisi yang dialami pasien ini?,
endo-2019,65,Recall,disebut apa kondisi ini?,
endo-2019,66,Anatomy,apa yang perlu dilakukan untuk memeriksa fungsi kelenjar yang terdampak oleh tindakan kemoradiasi tersebut?,
endo-2019,67,Recall,apa hormon yang dimaksud?,
endo-2019,68,Physiology,apa organ endokrin yang bertugas untuk memproduksi hormon tersebut?,
endo-2019,69,Recall,organ apa yang dimaksud?,
endo-2019,70,Anatomy,pembuluh darah apa yang memperdarahi organ tersebut yang merupakan cabang dari aorta abdominalis?,
endo-2019,71,Diagnostics,apa organ yang merupakan pusat kontrol endokrin tertinggi?,
endo-2019,72,Recall,apa kelenjar yang disebut master of gland?,
endo-2019,73,Physiology,apa hormon yang akan disekresi pada kasus tersebut?,
endo-2019,74,Physiology,bagaimana respon metabolik tubuh akibat disekresikannya hormon stres tersebut?,
endo-2019,75,Pharmacology,bagaimanakah tatalaksana awal pada pasien tersebut?,
endo-2019,76,Diagnostics,apa diagnosis yang tepat pada pasien ini?,
endo-2019,77,Physiology,apa penyebab dari gangguan kesehatan pada pasien ini?,
endo-2019,78,Physiology,apa penyebab utama kejadian yang terjadi pada gigi pasien ini?,
endo-2019,79,Recall,gangguan siklus haid pada pasien ini disebut?,
endo-2019,80,Diagnostics,apa diagnosis pada pasien tersebut?,
endo-2019,81,Diagnostics,bagaimanakah status gizi wanita tersebut menurut kriteria who asia-pasifik?,
endo-2019,82,Recall,"berapakah kebutuhan protein dan lemak wanita tersebut dalam sehari jika dibutuhkan protein 1-1,5 gram/kg berat badan ideal (bba = 54 kg)?",
endo-2019,83,Diagnostics,pada pasien dapat diketahui gangguan metabolisme yodium dengan melakukan pemeriksaan apa?,
endo-2019,84,Diagnostics,apa kemungkinan diagnosis pada pasien ini?,
endo-2019,85,Physiology,thyroid stimulating hormon membantu proses sintesis hormon t3/t4 pada mekanisme apa?,
endo-2019,86,Physiology,hormon apa yang ditunjukkan oleh grafik a yang melonjak tinggi tepat sebelum hari ke-14 (ovulasi)?,
endo-2019,87,Physiology,hormon apa yang ditunjukkan oleh grafik b yang mendominasi pada fase sekretori pasca hari ke-14?,
endo-2019,88,Physiology,apa proses fisiologis yang terjadi tepat di akhir periode c (sekitar hari ke-14)?,
endo-2019,89,Physiology,apa etiologi paling mungkin pada pasien ini?,
endo-2019,90,Recall,apa saja contoh asam lemak esensial turunan omega-3 yang diperoleh dari ikan laut dalam?,
endo-2019,91,Recall,bagaimana mengidentifikasikan halal atau haramnya makanan?,
endo-2019,92,Recall,bagaimana pendapat mayoritas ulama (jumhur fuqaha) tentang batasan maksimum keluarnya darah haidh?,
endo-2019,93,Recall,"berikut ini adalah ajaran islam tentang proporsionalitas dan kesunahan dalam makanan, kecuali apa?",
endo-2019,94,Recall,"berikut ini adalah perbuatan yang diharamkan bagi wanita nifas, kecuali apa?",
endo-2019,95,Recall,kriteria apa saja yang dikategorikan sebagai makanan halal?,
endo-2019,96,Diagnostics,mana pemeriksaan laboratorium yang kadarnya dapat menggambarkan kadar glukosa darah 2-3 minggu sebelum pemeriksaan dilakukan?,
endo-2019,97,Diagnostics,berapakah kadar glukosa darah 2 jam postprandial (g2pp) yang dianggap normal?,
endo-2019,98,Diagnostics,mana hasil laboratorium yang menunjang diagnosis tersebut?,
endo-2019,99,Anatomy,"berdasarkan kriteria ada, mana kadar glukosa darah plasma vena yang mendukung diagnosis tersebut?",
endo-2019,100,Pharmacology,bagaimana tatalaksana lini pertama pada pasien ini?,
endo-2023,1,Pharmacology,apa konsekuensi utama dari pemberian obat penghambat star?,
endo-2023,2,Pharmacology,berapa dosis mineral zat gizi untuk sensitivitas insulin?,
endo-2023,3,Pharmacology,bagaimana tatalaksana pasien tersebut?,
endo-2023,4,Diagnostics,"ga mencapai > 400 mg/dl, pasien saat ini berada di igd dengan keadaan pingsan dan nafas pendek-pendek, bagaimana laboratorium yang mendukung diagnosis tersebut?",
endo-2023,5,Physiology,apa penyebab hiperglikemi pasien?,
endo-2023,6,Pharmacology,apa prinsip tatalaksana yang benar pada hipotiroid kongenital?,
endo-2023,7,Pharmacology,zat gizi mineral yang meningkatkan sensitivitas terhadap insulin adalah?,
endo-2023,8,Recall,mana bahan makanan sumber omega 3 selain ikan laut dalam?,
endo-2023,9,Pharmacology,bagaimana mekanisme kerja obat tersebut?,
endo-2023,10,Diagnostics,komplikasi pada retinopati diabetik tapi selain retina,
endo-2023,11,Physiology,apa yang menyebabkan penglihatan menjadi buram pada pasien tersebut?,
endo-2023,12,Diagnostics,apa komplikasi yang dapat terjadi pada pasien tersebut?,
endo-2023,13,Physiology,apa yang menyebabkan visus mata kanan menurun pada pasien tersebut?,
endo-2023,14,Physiology,apa yang menyebabkan terjadinya neovaskularisasi di retina pada pasien tersebut?,
endo-2023,15,Recall,apa nama sekret yang ditampung ini?,
endo-2023,16,Diagnostics,"rotik (+), pus (+) berbau, pulsasi arteri dorsalis pedis dan tibialis posterior dekstra teraba lemah daripada kiri, sensasi terasa lemah. berapa skor pedis nya?",
endo-2023,17,Recall,mana pernyataan yang benar terkait tiroiditis riedel s?,
endo-2023,18,Pharmacology,"pasien diberi obat dislipidemia, apa saja pemeriksaan untuk memonitor pasien tersebut?",
endo-2023,19,Recall,kalimat au daman masfuhan artinya?,
endo-2023,20,Anatomy,apa yang perlu dilakukan untuk memeriksa fungsi kelenjar yang terdampak oleh tindakan kemoradiasi tersebut?,
endo-2023,21,Diagnostics,apa temuan laboratorium pasien tersebut?,
endo-2023,22,Diagnostics,bagaimana interpretasi laboratoriumnya?,
endo-2023,23,Diagnostics,apa gold standard untuk keganasan tiroid?,
endo-2023,24,Diagnostics,apa interpretasi hasil tersebut?,
endo-2023,25,Pharmacology,"apa penyebab kondisi bayi, komplikasi yang mungkin dialami, dan tatalaksana yang tepat untuk ibunya setelah persalinan?",
endo-2023,26,Pharmacology,apa tatalaksana yang tepat untuk anak tersebut?,
endo-2023,27,Recall,disebut apa yang tidak jelas tersebut?,
endo-2023,28,Diagnostics,apa diagnosis klinis yang paling tepat pada pasien di atas?,
endo-2023,29,Physiology,apa penyebab kejadian yang terjadi pada gigi pasien ini?,
endo-2023,30,Recall,gangguan siklus haid pada pasien ini disebut?,
endo-2023,31,Diagnostics,apa diagnosis kasus tersebut,
endo-2023,32,Diagnostics,apa kemungkinan tipe neuropati pada pasien?,
endo-2023,33,Diagnostics,apa kemungkinan diagnosis pada pasien tersebut?,
endo-2023,34,Recall,bagaimana urutan organel untuk sintesis protein?,
endo-2023,35,Diagnostics,apa pemeriksaan penunjang awal untuk menegakkan diagnosis pada kasus tersebut?,
endo-2023,36,Diagnostics,pemeriksaan hormon tiroid apa yang paling akurat?,
endo-2023,37,Diagnostics,"pemeriksaan laboratorium ditemukan kadar tiroid tinggi, t3 t4 tinggi, tsh turun, anti-tpo(+), dan tsi (-)",
endo-2023,38,Diagnostics,apa diagnosa yang tepat?,
endo-2023,39,Diagnostics," pemeriksaan infertilitas, volume sperma 2ml, konsentrasi sperma 10jt, motilitas 28%, morfologi normal 5%, apa interpretasi yang paling tepat. untuk pasien ini?",
endo-2023,40,Diagnostics,pemeriksaan hormon apa yang dapat mendasari peningkatan tekanan darah pasien?,
endo-2023,41,Pharmacology,penanganan yang dilakukan:,
endo-2023,42,Pharmacology,tatalaksana bedah yang tidak tepat pada pasien diabetes adalah?,
endo-2023,43,Recall,apa nama bangunan tempat sel itu berada?,
endo-2023,44,Diagnostics,aldosteron terganggu. apa fungsinya?,
endo-2023,45,Physiology,berikut yang kurang berperan patofisiologi terjadinya luka diabetes?,
endo-2023,46,Recall,dari segi apa penentuan perintah makan yang halal dan thayyib sesuai yang diperintahkan dalam al-qur an?,
endo-2023,47,Diagnostics,apa obat untuk diagnosis tersebut?,
endo-2023,48,Recall,"setelah masuk ke sirkulasi, testosteron terutama berikatan dengan apa?",
endo-2023,49,Physiology,apa patofisiologi yang menjelaskan kondisi tersebut?,
endo-2023,50,Pharmacology,mineral yang kerjanya mirip dengan insulin?,
endo-2023,51,Recall,bagaimana cara pemilihan makanan untuk pasien diabetes?,
endo-2023,52,Diagnostics,setelah dilakukan pemeriksaan gd anak hasilnya 60 mg/dl apa diagnosis anak tsb?,
endo-2023,53,Physiology,gula darah bayi saat lahir 40 mg/dl apa penyebab kondisi bayi?,
endo-2023,54,Anatomy,pada bagian bawah kelenjar tiroid dimanakah lokasi kelenjar tiroid menurut urutan cartilago trachea?,
endo-2023,55,Pharmacology,tatalaksana non-farmakologi?,
endo-2023,56,Recall,yang termasuk kategori well differentiated thyroid carcinoma?,
endo-2023,57,Physiology,"berdasarkan fisiologi dari prolaktin, apa fungsi dari hormon oxytocin dan hormon prolaktin?",
endo-2023,58,Anatomy,dimanakah letak corpus pineal tersebut?,
endo-2023,59,Anatomy,bagian yang dijaga oleh dokter bedah saat melakukan bedah untuk menjaga keseimbangan hormon ovarium adalah?,
endo-2023,60,Recall,tumor pada hipofisis dapat menekan organ?,
endo-2023,61,Histology,"pada preparat histologi glandula hipofisis, sel apa yang tidak mungkin ditemui pada bagian adenohipofisis?",
endo-2023,62,Physiology,apa etiologi dari kasus diatas?,
endo-2023,63,Anatomy,defisiensi vitamin d terjadi gangguan pada proses apa?,
endo-2023,64,Diagnostics,"(skenario) ft4 turun, ft3 normal, tsh naik, tsab positif, tsi negatif, diagnosis?",
endo-2023,65,Diagnostics,"(kasus) ft4 naik, ft3 normal, tsh turun, tsi positif, diagnosis?",
endo-2023,66,Diagnostics,"labnya panjang sebenarnya , dia hipokalsemia, hiperfosfatemia. diagnosis",
endo-2023,67,Anatomy,bagaimana vaskularisasi kelenjar suprarenal,
endo-2023,68,Pharmacology,apa tatalaksana awal yang tepat pada dka anak?,
endo-2023,69,Recall,gula darah 760 mg/dl. apa diagnosisnya?,
endo-2023,70,Recall,kalimat hipotesis yang tepat gambar tsb?,
endo-2023,71,Recall,pemeriksaan untuk cek kadar glukosa beberapa bulan yg lalu pake apa?,
endo-2023,72,Diagnostics,setelah dilakukan pemeriksaan gd anak hasilnya 60 mg/dl pemeriksaan apa yang bisa dilakukan untuk mendiagnosis ibu tersebut?,
endo-2023,73,Physiology,bagaimana patofisiologi terjadinya hal tsb (pokoknya knp testosteronnya tinggi)?,
endo-2023,74,Diagnostics,apa diagnosis yang tepat?,
endo-2023,75,Diagnostics,"(skenario pa) gerak saat menelan, tidak nyeri, simetris dan difus. diagnosis?",
endo-2023,76,Recall,"ibu melahirkan mengeluh mengalami pembesaran nodul dan tidak bisa menyusui, masalahnya dimana?",
endo-2023,77,Physiology,rangsangan oleh hormon tsh berlebihan pada sel folikel kelenjar thyroid dapat disebabkan oleh apa?,
endo-2023,78,Physiology,penyebab yang paling mungkin adalah...,
endo-2023,79,Physiology,bagaimana cara kerja hormon tsh?,
endo-2023,80,Physiology,struktur molekul hormon paratiroid adalah?,
endo-2023,81,Recall,seberapa cepat suatu bahan makanan dalam meningkatkan kadar glukosa & insulin setelah dikonsumsi disebut?,
endo-2023,82,Physiology,"mengingat sifat kimia hormon tersebut, protein mana yang digunakan dalam mekanisme kerjanya?",
endo-2023,83,Recall,cara kerja kalsitonin dalam kelebihan kalsium adalah?,
endo-2023,84,Diagnostics,kondisi pasien ini mungkin berhubungan dengan kelainan organ endokrin yang mana?,
endo-2023,85,Pharmacology,bagaimanakah tatalaksana untuk pasien tersebut?,
endo-2023,86,Diagnostics,apa diagnosis pada kasus tersebut?,
endo-2023,87,Physiology,hormon yang ngehasilin folikel,
endo-2023,88,Physiology,dimanakah reseptor hormon tersebut?,
endo-2023,89,Diagnostics,apa diagnosa pasien tersebut?,
endo-2023,90,Physiology,apa kemungkinan etiologi infertilitas yang paling mungkin pada pasien ini?,
endo-2023,91,Recall,"pembesaran tiroid difus, tsh turun ft4 naik, mata menonjol. diagnosisnya?",
endo-2023,92,Diagnostics,apa kemungkinan diagnosis yang tepat pada pasien di atas?,
endo-2023,93,Physiology,enzim apa yang mengalami defisiensi?,
endo-2023,94,Physiology,(ini yg sering terjadi defisiensi ga sih pertanyaannya?),
endo-2023,95,Physiology,interaksi rifampisin dengan glibenklamid (glibenclamide) menyebabkan efek apa?,
endo-2023,96,Recall,bentuk aktif dari vitamin d dalam tubuh adalah...,
endo-2023,97,Recall,pernyataan yang benar mengenai vitamin d adalah...,
endo-2023,98,Pharmacology,tindakan pertama yang harus dilakukan adalah...,
endo-2023,99,Physiology,mengapa hipoglikemia dapat terjadi pada pasien yang menggunakan beta-blocker?,
endo-2023,100,Anatomy,struktur anatomi apa yang harus dipertahankan?,
endo-2023,101,Pharmacology,ibu hamil dengan hiperglikemia melahirkan bayi yang mengalami hipoglikemiaa apa tatalaksana pertama pada bayi?,
ginjal-2018,1,Diagnostics,"selain pemeriksaan laboratorium di atas, mana pemeriksaan lain yang dapat digunakan untuk menilai fungsi ginjal dengan lebih akurat?",
ginjal-2018,2,Diagnostics,mana interpretasi hasil laboratorium yang paling tepat untuk kasus di atas?,
ginjal-2018,3,Anatomy,bagian yang terkena pada kasus di atas diperdarahi oleh arteri yang merupakan cabang dari...,
ginjal-2018,4,Recall,apa nama bangunan tersebut?,
ginjal-2018,5,Physiology,apa penyebab penyakit tersebut?,
ginjal-2018,6,Diagnostics,apa diagnosis yang paling tepat?,
ginjal-2018,7,Pharmacology,apa tindakan yang paling tepat?,
ginjal-2018,8,Diagnostics,"iksaan fisik dan pemeriksaan penunjang, dokter melihat adanya gangguan pada ginjal berupa kurang dari 50% glomerulus terkena sklerosis. penyakit ini disebut....",
ginjal-2018,9,Diagnostics,apa diagnosis yang paling tepat?,
ginjal-2018,10,Physiology,apa yang menyebabkan terjadinya edema anasarca pada pasien ini?,
ginjal-2018,11,Pharmacology,apa terapi pilihan pertama pada pasien ini ?,
ginjal-2018,12,Physiology,mana cara penghitungan yang paling tepat?,
ginjal-2018,13,Diagnostics,apa gambaran radiologi yang paling sesuai klinis pasien?,
ginjal-2018,14,Physiology,gangguan apa yang terjadi pada pasien ini?,
ginjal-2018,15,Diagnostics,apa diagnosis yang paling tepat untuk pasien tersebut?,
ginjal-2018,16,Recall,transporter air yang mana yang dimaksud?:,
ginjal-2018,17,Diagnostics,apa diagnosis yang paling tepat?,
ginjal-2018,18,Recall,hormon apa yang dimaksud?,
ginjal-2018,19,Diagnostics,apa komplikasi yang mungkin terjadi pada kasus ini?,
ginjal-2018,20,Diagnostics,"penyakit di bawah ini disebabkan oleh sindrom nefrotik, yaitu",
ginjal-2018,21,Anatomy,rasa nyeri pada daerah tersebut dinervasi oleh...,
ginjal-2018,22,Physiology,apa hukum sirkumsisi bagi laki-laki dan perempuan serta apa alasan dalilnya menurut mayoritas ulama?,
ginjal-2018,23,Physiology,dimanakah hormon tersebut disintesis?,
ginjal-2018,24,Recall,apa nama kelainan perkembangan ini?,
ginjal-2018,25,Diagnostics,"pada kasus tersebut, pemeriksaan radiologi yang dianjurkan adalah...",
ginjal-2018,26,Physiology,apa etiologi terbanyak kelainan ini?,
ginjal-2018,27,Diagnostics,apa diagnosis yang paling mungkin pada pasien ini?,
ginjal-2018,28,Pharmacology,apa penatalaksanaan yang paling tepat?,
ginjal-2018,29,Recall,berapakah jumlah protein ideal yang bisa disarankan pada pasien ini?,
ginjal-2018,30,Diagnostics,makromolekul apa yang dimaksud?,
ginjal-2018,31,Pharmacology,bagaimana mekanisme kerja obat tersebut?,
ginjal-2018,32,Diagnostics,apa diagnosis pada pasien ini?,
ginjal-2018,33,Diagnostics,apa diagnosis pasien ini?,
ginjal-2018,34,Diagnostics,apa sampel pemeriksaan penunjang yang paling tepat diambil untuk digunakan dalam menentukan diagnosis pada pasien ini?,
ginjal-2018,35,Diagnostics,"berdasarkan klasifikasi, termasuk hipertensi apa pasien ini?",
ginjal-2018,36,Physiology,yang meningkatkan aliran darah di bagian korteks ginjal adalah...,
ginjal-2018,37,Anatomy,"bila batu tersebut berada tepat sebelum masuk ostium ureteris, maka bagian yang kemungkinan besar tidak akan mengalami gangguan adalah...",
ginjal-2018,38,Recall,apa nama bangunan yang dibentuk oleh ketiga komponen diatas?,
ginjal-2018,39,Diagnostics,pemeriksaan baku emas untuk menyokong diagnosis di atas adalah......,
ginjal-2018,40,Physiology,apa penyebab kejadian tersebut?,
ginjal-2018,41,Diagnostics,apa diagnosis yang paling mungkin pada pasien ini?,
ginjal-2018,42,Diagnostics,apa diagnosis pasien ini?,
ginjal-2018,43,Diagnostics,bagian dari ginjal yang sering terkena pada kasus di atas adalah...,
ginjal-2018,44,Pharmacology,"dari obat dibawah ini, obat apa yang tepat diberikan pada kasus ini?",
ginjal-2018,45,Diagnostics,apa gambaran usg yang akan didapatkan apabila dicurigai adanya nefrolitiasis?,
ginjal-2018,46,Diagnostics,apa permasalahan ginjal yang terjadi pada pasien ini?,
ginjal-2018,47,Physiology,apa kemungkinan penyebab tes nitrit positif pada pasien ini?,
ginjal-2018,48,Diagnostics,pemeriksaan radiologi lanjutan yang disarankan adalah...,
ginjal-2018,49,Physiology,apa yang terjadi pada ginjal jika seseorang melakukan olahraga?,
ginjal-2018,50,Physiology,apa kemungkinan penyebab poliuri pada pasien tersebut?,
ginjal-2018,51,Pharmacology,"berikut adalah pernyataan yang benar mengenai ciprofloksasin, kecuali..",
ginjal-2018,52,Pharmacology,bagaimanakah efek pemberian obat tersebut ?,
ginjal-2018,53,Diagnostics,"pada pemeriksaan rontgen, gambaran yang mungkin tampak terkait kondisi pasien adalah....",
ginjal-2018,54,Recall,apa nama daerah tempat saluran itu berada?,
ginjal-2018,55,Pharmacology,mana dari obat dibawah ini yang memiliki mekanisme kerja tersebut?,
ginjal-2018,56,Recall,apa istilah dalam hukum islam untuk menyebut penderita kencing terus menerus dan bagaimana penunaian thaharah dan salatnya ?,
ginjal-2018,57,Pharmacology,apa tindakan yang paling tepat ?,
ginjal-2018,58,Diagnostics,untuk memastikan diagnosis pada penderita tersebut harus dilakukan pemeriksaan...,
ginjal-2018,59,Diagnostics,apa diagnosa yang paling mungkin untuk pasien ini?,
ginjal-2018,60,Pharmacology,bagaimanakah tatalaksana untuk pasien ini?,
ginjal-2018,61,Anatomy,kemungkinan bagian yang mengalami gangguan adalah...,
ginjal-2018,62,Pharmacology,apa tindakan yang paling tepat?,
ginjal-2018,63,Diagnostics,sensasi rasa nyeri pada kasus tersebut melalui syaraf apa?,
ginjal-2018,64,Physiology,apa kemungkinan penyebab proteinuria pada pasien ini ?,
ginjal-2018,65,Pharmacology,obat anti hipertensi mana yang bisa diberikan?,
ginjal-2018,66,Diagnostics,mana pemeriksaan sedimen urin yang sesuai dengan diagnosis batu ginjal tanpa komplikasi?,
ginjal-2018,67,Diagnostics,apa diagnosis yang paling mungkin?,
ginjal-2018,68,Pharmacology,bagaimanakah tatalaksana untuk pasien ini?,
ginjal-2018,69,Diagnostics,apa diagnosis yang paling mungkin?,
ginjal-2018,70,Recall,kelainan ini disebut.....,
ginjal-2018,71,Histology,apa yang mempengaruhi proses filtrasi yang terjadi di glomerulus?,
ginjal-2018,72,Diagnostics,apa kemungkinan penyebab kelainan tersebut?,
ginjal-2018,73,Pharmacology,terapi simptomatik apa yang dapat digunakan pada pasien ini?,
ginjal-2018,74,Diagnostics,mana hasil urinalisa berikut yang mendukung diagnosis infeksi saluran kemih bagian atas?,
ginjal-2018,75,Diagnostics,metode yang paling baik untuk pengambilan spesimen pada pasien tersebut di atas adalah....,
ginjal-2018,76,Histology,kapsula bowman pars viseral berasal dari sel-sel epiteloid besar berprosesus. apa nama sel tersebut?,
ginjal-2018,77,Diagnostics,apa bakteri yang paling mungkin menyebabkan infeksi pada pasien tersebut?,
ginjal-2018,78,Anatomy,kemungkinan lobus prostat yang mengalami pembesaran adalah...,
ginjal-2018,79,Physiology,apa yang menyebabkan terjadinya anemia pada pasien ini?,
ginjal-2018,80,Diagnostics,apa kemungkinan penyebab anemia pada pasien tersebut?,
ginjal-2018,81,Physiology,apa bakteri penyebab infeksi saluran kemih pada pasien ini?,
ginjal-2018,82,Histology,apa kelainan histologi terbanyak pada kelainan tersebut?,
ginjal-2018,83,Diagnostics,pemeriksaan penunjang untuk penegakkan diagnosis adalah...,
ginjal-2018,84,Physiology,apa etiologi terbanyak kelainan ini?,
ginjal-2018,85,Pharmacology,obat apa yang akan diberikan oleh dokter?,
ginjal-2018,86,Recall,"dari segi thaharah, apa status hukum kencing berdarah, dasar penentuan, dan bagaimana cara thaharahnya?",
ginjal-2018,87,Physiology,proses apa yang terjadi pada mekanisme tubuloglomerular feedback?,
ginjal-2018,88,Pharmacology,pilihan terapi yang paling tepat untuk kasus ini adalah?,
ginjal-2018,89,Diagnostics,diagnosis pada laki-laki tersebut adalah....,
ginjal-2018,90,Diagnostics,mana hasil pemeriksaan laboratorium berikut yang menunjang penegakan diagnosis sindroma nefrotik?,
ginjal-2018,91,Pharmacology,pengawet urin yang paling baik diberikan untuk pemeriksaan tersebut diatas adalah....,
ginjal-2018,92,Pharmacology,obat apa yang dimaksud ?,
ginjal-2018,93,Anatomy,dari apa mioepitel tersebut berasal?,
ginjal-2018,94,Diagnostics,apa bakteri yang paling mungkin merupakan etiologi pada kasus tersebut?,
ginjal-2018,95,Recall,kemungkinan batu menyumbat di...,
ginjal-2018,96,Diagnostics,hematuria yang disebabkan oleh sistitis akut adalah....,
ginjal-2018,97,Pharmacology,apa hukum islam berikut alasan syar i tentang terapi urine manusia ?,
ginjal-2018,98,Diagnostics,ektopia kandung kemih merupakan kelainan kongenital...,
ginjal-2018,99,Pharmacology,apa tindakan yang paling tepat ?,
ginjal-2018,100,Pharmacology,bagaimanakah mekanisme kerja obat tersebut ?,
ginjal-2019,1,Physiology,patogenesis terjadinya bengkak pada penderita tersebut adalah?,
ginjal-2019,2,Pharmacology,apa terapi yang untuk pasien ini?,
ginjal-2019,3,Anatomy,"pada laki-laki, dimanakah letak otot tersebut?",
ginjal-2019,4,Pharmacology,apa obat untuk mengurangi keluhan pada pasien ini?,
ginjal-2019,5,Diagnostics,simpai dari organ yang mengalami kelainan yang terbentuk dari jaringan ikat berserat dan langsung melapisi permukaan parenkim adalah ?,
ginjal-2019,6,Recall,salah satu alasannya adalah?,
ginjal-2019,7,Recall,mana bagian ginjal yang mengalami gangguan fungsi pada pasien ini?,
